Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book
Apple Inc,Technology,192.53,28.5,0.42,6.75,145.20,210.67,2800000000000,130000000000,34.2,47.8
Microsoft Corporation,Technology,378.91,35.2,0.75,10.77,310.45,420.33,2820000000000,95000000000,12.5,15.3
Alphabet Inc,Technology,140.23,26.8,0,5.23,108.76,155.42,1850000000000,85000000000,8.2,6.5
Amazon.com Inc,Consumer Cyclical,175.45,68.9,0,2.55,130.21,198.76,1820000000000,40000000000,2.1,8.9
Tesla Inc,Consumer Cyclical,242.18,85.3,0,2.84,156.34,299.29,770000000000,18000000000,7.8,32.1
Berkshire Hathaway,Financials,532.67,15.2,0,35.08,485.23,598.34,820000000000,75000000000,1.8,1.5
JPMorgan Chase,Financials,198.45,12.8,2.15,15.51,156.78,225.32,560000000000,68000000000,2.4,1.2
Visa Inc,Financials,280.34,42.1,0.65,6.65,245.12,315.78,640000000000,28000000000,28.5,45.2
Procter & Gamble,Consumer Staples,168.23,28.5,2.25,5.89,145.67,189.43,450000000000,22000000000,4.2,8.7
Coca-Cola Company,Consumer Staples,62.45,26.3,3.05,2.37,52.34,71.23,275000000000,12000000000,5.8,3.2
Johnson & Johnson,Healthcare,157.89,15.4,2.55,10.25,142.13,175.67,420000000000,35000000000,6.5,4.1
Pfizer Inc,Healthcare,28.34,12.1,5.8,2.34,22.45,35.67,160000000000,24000000000,2.8,2.1
Meta Platforms,Technology,498.23,42.5,0,11.72,332.18,589.45,1560000000000,58000000000,8.9,6.2
Nvidia Corporation,Technology,875.32,68.2,0.02,12.84,410.12,968.76,2150000000000,42000000000,24.5,52.3
TSMC,Technology,165.78,18.5,3.2,8.96,128.34,188.45,790000000000,38000000000,7.2,3.8
Samsung Electronics,Technology,1245.67,9.8,1.5,127.12,1050.33,1450.67,1280000000000,95000000000,1.2,1.1
Intel Corporation,Technology,43.52,18.3,3.8,2.38,32.45,62.34,180000000000,28000000000,1.8,2.4
Advanced Micro Devices,Technology,168.94,52.3,0.05,3.23,85.67,198.76,545000000000,12000000000,5.6,4.2
Broadcom Inc,Technology,685.23,32.1,1.8,21.35,512.45,745.67,890000000000,28000000000,8.4,5.9
Qualcomm Inc,Technology,168.34,22.4,2.1,7.51,125.67,195.43,685000000000,18000000000,4.5,8.2
Bank of America,Financials,32.45,11.2,2.85,2.89,28.34,38.67,315000000000,58000000000,0.92,0.65
Goldman Sachs,Financials,385.67,8.5,2.1,45.32,325.12,445.78,125000000000,22000000000,3.2,0.85
Morgan Stanley,Financials,98.45,12.8,3.2,7.68,82.34,115.67,185000000000,18000000000,2.1,1.1
Walmart Inc,Consumer Cyclical,92.34,32.5,1.2,2.84,75.43,105.67,260000000000,32000000000,0.85,8.4
Home Depot Inc,Consumer Cyclical,378.45,22.8,2.1,16.58,285.34,425.67,420000000000,42000000000,2.5,85.3
McDonald's Corporation,Consumer Cyclical,298.76,28.3,2.25,10.55,245.12,335.67,220000000000,8500000000,7.8,65.4
Nike Inc,Consumer Cyclical,112.34,42.5,1.15,2.64,78.45,135.67,175000000000,6200000000,2.8,12.5
Starbucks Corporation,Consumer Cyclical,98.45,32.1,2.8,3.07,82.34,112.45,115000000000,4800000000,4.2,25.6
Chevron Corporation,Energy,158.34,10.2,3.5,15.52,125.67,178.45,312000000000,48000000000,0.8,1.2
ExxonMobil,Energy,112.45,8.9,3.8,12.64,95.34,135.67,465000000000,68000000000,0.75,1.5
NextEra Energy,Utilities,78.45,28.5,2.15,2.75,62.34,92.67,158000000000,22000000000,3.2,2.8
Duke Energy,Utilities,98.34,22.3,4.2,4.41,85.23,118.45,165000000000,32000000000,3.5,2.1
AT&T Inc,Telecommunication,23.45,8.5,7.2,2.76,18.34,28.67,165000000000,42000000000,0.65,0.95
Verizon Communications,Telecommunication,42.67,9.8,6.5,4.35,35.12,52.34,175000000000,45000000000,1.8,3.2
Comcast Corporation,Telecommunication,45.23,14.2,2.8,3.19,38.45,58.67,205000000000,35000000000,2.1,2.8
Netflix Inc,Media,412.34,48.5,0,8.49,285.12,498.76,180000000000,5400000000,8.2,45.3
Disney,Media,92.45,32.8,0.75,2.82,75.34,115.67,165000000000,42000000000,1.2,4.5
Comcast Media,Media,45.23,15.3,1.8,2.95,38.45,58.67,205000000000,8500000000,0.95,3.2
