Name,Sector,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,Revenue Growth %,Debt to Equity,Free Cash Flow,Analyst Rating
Apple Inc,Technology,192.53,28.5,0.42,6.75,145.20,210.67,2800000000000,130000000000,34.2,47.8,15.2,0.85,95000000000,Buy
Microsoft Corporation,Technology,378.91,35.2,0.75,10.77,310.45,420.33,2820000000000,95000000000,12.5,15.3,12.8,0.45,52000000000,Buy
Alphabet Inc,Technology,140.23,26.8,0,5.23,108.76,155.42,1850000000000,85000000000,8.2,6.5,18.5,0.12,68000000000,Buy
Amazon.com Inc,Consumer Cyclical,175.45,68.9,0,2.55,130.21,198.76,1820000000000,40000000000,2.1,8.9,22.3,0.42,35000000000,Buy
Tesla Inc,Consumer Cyclical,242.18,85.3,0,2.84,156.34,299.29,770000000000,18000000000,7.8,32.1,35.8,0.65,12000000000,Hold
Berkshire Hathaway,Financials,532.67,15.2,0,35.08,485.23,598.34,820000000000,75000000000,1.8,1.5,8.2,0.15,42000000000,Buy
JPMorgan Chase,Financials,198.45,12.8,2.15,15.51,156.78,225.32,560000000000,68000000000,2.4,1.2,5.3,1.02,38000000000,Buy
Visa Inc,Financials,280.34,42.1,0.65,6.65,245.12,315.78,640000000000,28000000000,28.5,45.2,13.5,0.58,16000000000,Buy
Procter & Gamble,Consumer Staples,168.23,28.5,2.25,5.89,145.67,189.43,450000000000,22000000000,4.2,8.7,3.2,0.72,12000000000,Hold
Coca-Cola Company,Consumer Staples,62.45,26.3,3.05,2.37,52.34,71.23,275000000000,12000000000,5.8,3.2,1.8,0.82,8500000000,Hold
Johnson & Johnson,Healthcare,157.89,15.4,2.55,10.25,142.13,175.67,420000000000,35000000000,6.5,4.1,6.5,0.42,28000000000,Buy
Pfizer Inc,Healthcare,28.34,12.1,5.8,2.34,22.45,35.67,160000000000,24000000000,2.8,2.1,4.2,0.95,15000000000,Hold
Meta Platforms,Technology,498.23,42.5,0,11.72,332.18,589.45,1560000000000,58000000000,8.9,6.2,21.3,0.15,28000000000,Buy
Nvidia Corporation,Technology,875.32,68.2,0.02,12.84,410.12,968.76,2150000000000,42000000000,24.5,52.3,45.2,0.35,18000000000,Buy
TSMC,Technology,165.78,18.5,3.2,8.96,128.34,188.45,790000000000,38000000000,7.2,3.8,12.5,0.28,22000000000,Buy
Samsung Electronics,Technology,1245.67,9.8,1.5,127.12,1050.33,1450.67,1280000000000,95000000000,1.2,1.1,8.3,0.42,35000000000,Buy
Intel Corporation,Technology,43.52,18.3,3.8,2.38,32.45,62.34,180000000000,28000000000,1.8,2.4,2.1,0.65,8000000000,Hold
Advanced Micro Devices,Technology,168.94,52.3,0.05,3.23,85.67,198.76,545000000000,12000000000,5.6,4.2,28.5,0.38,5000000000,Buy
Broadcom Inc,Technology,685.23,32.1,1.8,21.35,512.45,745.67,890000000000,28000000000,8.4,5.9,16.2,0.52,12000000000,Buy
Qualcomm Inc,Technology,168.34,22.4,2.1,7.51,125.67,195.43,685000000000,18000000000,4.5,8.2,10.5,0.35,9000000000,Buy
Bank of America,Financials,32.45,11.2,2.85,2.89,28.34,38.67,315000000000,58000000000,0.92,0.65,2.5,1.25,22000000000,Hold
Goldman Sachs,Financials,385.67,8.5,2.1,45.32,325.12,445.78,125000000000,22000000000,3.2,0.85,1.8,1.48,8500000000,Hold
Morgan Stanley,Financials,98.45,12.8,3.2,7.68,82.34,115.67,185000000000,18000000000,2.1,1.1,3.2,1.15,7000000000,Hold
Walmart Inc,Consumer Cyclical,92.34,32.5,1.2,2.84,75.43,105.67,260000000000,32000000000,0.85,8.4,5.5,0.55,18000000000,Buy
Home Depot Inc,Consumer Cyclical,378.45,22.8,2.1,16.58,285.34,425.67,420000000000,42000000000,2.5,85.3,4.2,0.48,20000000000,Buy
McDonald's Corporation,Consumer Cyclical,298.76,28.3,2.25,10.55,245.12,335.67,220000000000,8500000000,7.8,65.4,2.8,0.62,5000000000,Hold
Nike Inc,Consumer Cyclical,112.34,42.5,1.15,2.64,78.45,135.67,175000000000,6200000000,2.8,12.5,8.5,0.32,4500000000,Buy
Starbucks Corporation,Consumer Cyclical,98.45,32.1,2.8,3.07,82.34,112.45,115000000000,4800000000,4.2,25.6,6.3,0.45,3200000000,Hold
Chevron Corporation,Energy,158.34,10.2,3.5,15.52,125.67,178.45,312000000000,48000000000,0.8,1.2,42.5,0.32,28000000000,Buy
ExxonMobil,Energy,112.45,8.9,3.8,12.64,95.34,135.67,465000000000,68000000000,0.75,1.5,38.2,0.28,35000000000,Buy
NextEra Energy,Utilities,78.45,28.5,2.15,2.75,62.34,92.67,158000000000,22000000000,3.2,2.8,4.5,0.42,10000000000,Hold
Duke Energy,Utilities,98.34,22.3,4.2,4.41,85.23,118.45,165000000000,32000000000,3.5,2.1,2.2,0.65,8500000000,Hold
AT&T Inc,Telecommunication,23.45,8.5,7.2,2.76,18.34,28.67,165000000000,42000000000,0.65,0.95,1.5,1.35,15000000000,Hold
Verizon Communications,Telecommunication,42.67,9.8,6.5,4.35,35.12,52.34,175000000000,45000000000,1.8,3.2,1.2,1.28,18000000000,Hold
Comcast Corporation,Telecommunication,45.23,14.2,2.8,3.19,38.45,58.67,205000000000,35000000000,2.1,2.8,3.5,0.95,12000000000,Hold
Netflix Inc,Media,412.34,48.5,0,8.49,285.12,498.76,180000000000,5400000000,8.2,45.3,15.8,0.25,8500000000,Buy
Disney,Media,92.45,32.8,0.75,2.82,75.34,115.67,165000000000,42000000000,1.2,4.5,5.2,0.58,18000000000,Hold
Comcast Media,Media,45.23,15.3,1.8,2.95,38.45,58.67,205000000000,8500000000,0.95,3.2,2.8,0.95,6000000000,Hold
Adobe Inc,Technology,562.45,52.3,0.15,10.75,412.34,625.67,265000000000,12000000000,15.8,45.2,11.5,0.22,8500000000,Buy
